x (nodes),y (nodes),x (m),y (m),h + zb (m),zb (m),h (m),u (m/s),v (m/s), q (m^2/s), h analytical (m), u analytical (m/s), h analytical + zb (m)
    1,  119,      0.0033,      0.7904,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  120,      0.0033,      0.7971,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  121,      0.0033,      0.8037,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  122,      0.0033,      0.8104,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  123,      0.0033,      0.8171,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  124,      0.0033,      0.8237,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  125,      0.0033,      0.8304,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  126,      0.0033,      0.8371,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  127,      0.0033,      0.8438,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  128,      0.0033,      0.8504,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  129,      0.0033,      0.8571,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  130,      0.0033,      0.8638,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  131,      0.0033,      0.8704,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  132,      0.0033,      0.8771,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  133,      0.0033,      0.8838,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  134,      0.0033,      0.8904,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  135,      0.0033,      0.8971,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  136,      0.0033,      0.9038,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  137,      0.0033,      0.9105,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
    1,  138,      0.0033,      0.9171,      0.1850,      0.0025,      0.1825,      0.6794,     -0.0000,      0.1240,      0.0000,      0.0000,      0.0025,
